disease,symptoms
fungal infection,"itching, skin rash, nodal skin eruptions, dischromic  patches"
fungal infection,"skin rash, nodal skin eruptions, dischromic  patches"
fungal infection,"itching, nodal skin eruptions, dischromic  patches"
fungal infection,"itching, skin rash, dischromic  patches"
fungal infection,"itching, skin rash, nodal skin eruptions"
allergy,"continuous sneezing, shivering, chills, watering from eyes"
allergy,"shivering, chills, watering from eyes"
allergy,"continuous sneezing, chills, watering from eyes"
allergy,"continuous sneezing, shivering, watering from eyes"
allergy,"continuous sneezing, shivering, chills"
gerd,"stomach pain, acidity, ulcers on tongue, vomiting, cough, chest pain"
gerd,"stomach pain, ulcers on tongue, vomiting, cough, chest pain"
gerd,"stomach pain, acidity, vomiting, cough, chest pain"
gerd,"stomach pain, acidity, ulcers on tongue, cough, chest pain"
gerd,"stomach pain, acidity, ulcers on tongue, vomiting, chest pain"
gerd,"stomach pain, acidity, ulcers on tongue, vomiting, cough"
gerd,"acidity, ulcers on tongue, vomiting, cough, chest pain"
chronic cholestasis,"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes"
chronic cholestasis,"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes"
chronic cholestasis,"itching, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes"
chronic cholestasis,"itching, vomiting, nausea, loss of appetite, abdominal pain, yellowing of eyes"
chronic cholestasis,"itching, vomiting, yellowish skin, loss of appetite, abdominal pain, yellowing of eyes"
chronic cholestasis,"itching, vomiting, yellowish skin, nausea, abdominal pain, yellowing of eyes"
chronic cholestasis,"itching, vomiting, yellowish skin, nausea, loss of appetite, yellowing of eyes"
chronic cholestasis,"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain"
drug reaction,"itching, skin rash, stomach pain, burning micturition, spotting  urination"
drug reaction,"itching, stomach pain, burning micturition, spotting  urination"
drug reaction,"itching, skin rash, burning micturition, spotting  urination"
drug reaction,"itching, skin rash, stomach pain, spotting  urination"
drug reaction,"itching, skin rash, stomach pain, burning micturition"
drug reaction,"skin rash, stomach pain, burning micturition, spotting  urination"
peptic ulcer diseae,"vomiting, loss of appetite, abdominal pain, passage of gases, internal itching"
peptic ulcer diseae,"vomiting, indigestion, abdominal pain, passage of gases, internal itching"
peptic ulcer diseae,"indigestion, loss of appetite, abdominal pain, passage of gases, internal itching"
peptic ulcer diseae,"vomiting, indigestion, loss of appetite, passage of gases, internal itching"
peptic ulcer diseae,"vomiting, indigestion, loss of appetite, abdominal pain, internal itching"
peptic ulcer diseae,"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases"
peptic ulcer diseae,"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases, internal itching"
aids,"muscle wasting, patches in throat, high fever, extra marital contacts"
aids,"patches in throat, high fever, extra marital contacts"
aids,"muscle wasting, high fever, extra marital contacts"
aids,"muscle wasting, patches in throat, extra marital contacts"
aids,"muscle wasting, patches in throat, high fever"
diabetes,"fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria"
diabetes,"weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria"
diabetes,"fatigue, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria"
diabetes,"fatigue, weight loss, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria"
diabetes,"fatigue, weight loss, restlessness, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria"
diabetes,"fatigue, weight loss, restlessness, lethargy, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria"
diabetes,"fatigue, weight loss, restlessness, lethargy, irregular sugar level, obesity, excessive hunger, increased appetite, polyuria"
diabetes,"fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, excessive hunger, increased appetite, polyuria"
diabetes,"fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, increased appetite, polyuria"
gastroenteritis,"vomiting, sunken eyes, dehydration, diarrhoea"
gastroenteritis,"sunken eyes, dehydration, diarrhoea"
gastroenteritis,"vomiting, dehydration, diarrhoea"
gastroenteritis,"vomiting, sunken eyes, diarrhoea"
gastroenteritis,"vomiting, sunken eyes, dehydration"
bronchial asthma,"fatigue, cough, high fever, breathlessness, family history, mucoid sputum"
bronchial asthma,"cough, high fever, breathlessness, family history, mucoid sputum"
bronchial asthma,"fatigue, high fever, breathlessness, family history, mucoid sputum"
bronchial asthma,"fatigue, cough, breathlessness, family history, mucoid sputum"
bronchial asthma,"fatigue, cough, high fever, family history, mucoid sputum"
bronchial asthma,"fatigue, cough, high fever, breathlessness, mucoid sputum"
bronchial asthma,"fatigue, cough, high fever, breathlessness, family history"
hypertension,"headache, chest pain, dizziness, loss of balance, lack of concentration"
hypertension,"chest pain, dizziness, loss of balance, lack of concentration"
hypertension,"headache, dizziness, loss of balance, lack of concentration"
hypertension,"headache, chest pain, loss of balance, lack of concentration"
hypertension,"headache, chest pain, dizziness, lack of concentration"
hypertension,"headache, chest pain, dizziness, loss of balance"
migraine,"acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances"
migraine,"indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances"
migraine,"acidity, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances"
migraine,"acidity, indigestion, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances"
migraine,"acidity, indigestion, headache, excessive hunger, stiff neck, depression, irritability, visual disturbances"
migraine,"acidity, indigestion, headache, blurred and distorted vision, stiff neck, depression, irritability, visual disturbances"
migraine,"acidity, indigestion, headache, blurred and distorted vision, excessive hunger, depression, irritability, visual disturbances"
migraine,"acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, irritability, visual disturbances"
migraine,"acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, visual disturbances"
migraine,"acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability"
cervical spondylosis,"back pain, weakness in limbs, neck pain, dizziness, loss of balance"
cervical spondylosis,"weakness in limbs, neck pain, dizziness, loss of balance"
cervical spondylosis,"back pain, neck pain, dizziness, loss of balance"
cervical spondylosis,"back pain, weakness in limbs, dizziness, loss of balance"
cervical spondylosis,"back pain, weakness in limbs, neck pain, loss of balance"
cervical spondylosis,"back pain, weakness in limbs, neck pain, dizziness"
paralysis (brain hemorrhage),"vomiting, headache, weakness of one body side, altered sensorium"
paralysis (brain hemorrhage),"headache, weakness of one body side, altered sensorium"
paralysis (brain hemorrhage),"vomiting, weakness of one body side, altered sensorium"
paralysis (brain hemorrhage),"vomiting, headache, altered sensorium"
paralysis (brain hemorrhage),"vomiting, headache, weakness of one body side"
jaundice,"itching, vomiting, fatigue, weight loss, high fever, yellowish skin, dark urine, abdominal pain"
jaundice,"vomiting, fatigue, weight loss, high fever, yellowish skin, dark urine, abdominal pain"
jaundice,"itching, fatigue, weight loss, high fever, yellowish skin, dark urine, abdominal pain"
jaundice,"itching, vomiting, weight loss, high fever, yellowish skin, dark urine, abdominal pain"
jaundice,"itching, vomiting, fatigue, high fever, yellowish skin, dark urine, abdominal pain"
jaundice,"itching, vomiting, fatigue, weight loss, yellowish skin, dark urine, abdominal pain"
jaundice,"itching, vomiting, fatigue, weight loss, high fever, dark urine, abdominal pain"
jaundice,"itching, vomiting, fatigue, weight loss, high fever, yellowish skin, abdominal pain"
jaundice,"itching, vomiting, fatigue, weight loss, high fever, yellowish skin, dark urine"
malaria,"chills, vomiting, high fever, sweating, headache, nausea, muscle pain"
malaria,"chills, vomiting, high fever, sweating, headache, nausea, diarrhoea, muscle pain"
malaria,"vomiting, high fever, sweating, headache, nausea, diarrhoea, muscle pain"
malaria,"chills, high fever, sweating, headache, nausea, diarrhoea, muscle pain"
malaria,"chills, vomiting, sweating, headache, nausea, diarrhoea, muscle pain"
malaria,"chills, vomiting, high fever, headache, nausea, diarrhoea, muscle pain"
malaria,"chills, vomiting, high fever, sweating, nausea, diarrhoea, muscle pain"
malaria,"chills, vomiting, high fever, sweating, headache, diarrhoea, muscle pain"
chicken pox,"itching, skin rash, fatigue, lethargy, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body"
chicken pox,"skin rash, fatigue, lethargy, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body"
chicken pox,"itching, fatigue, lethargy, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body"
chicken pox,"itching, skin rash, lethargy, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body"
chicken pox,"itching, skin rash, fatigue, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body"
chicken pox,"itching, skin rash, fatigue, lethargy, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body"
chicken pox,"itching, skin rash, fatigue, lethargy, high fever, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body"
chicken pox,"itching, skin rash, fatigue, lethargy, high fever, headache, mild fever, swelled lymph nodes, malaise, red spots over body"
chicken pox,"itching, skin rash, fatigue, lethargy, high fever, headache, loss of appetite, swelled lymph nodes, malaise, red spots over body"
chicken pox,"itching, skin rash, fatigue, lethargy, high fever, headache, loss of appetite, mild fever, malaise, red spots over body"
dengue,"skin rash, chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, muscle pain, red spots over body"
dengue,"skin rash, chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, red spots over body"
dengue,"skin rash, chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain"
dengue,"skin rash, chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body"
dengue,"chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body"
dengue,"skin rash, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body"
dengue,"skin rash, chills, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body"
dengue,"skin rash, chills, joint pain, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body"
dengue,"skin rash, chills, joint pain, vomiting, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body"
dengue,"skin rash, chills, joint pain, vomiting, fatigue, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body"
typhoid,"chills, vomiting, fatigue, high fever, nausea, constipation, abdominal pain, diarrhoea, toxic look (typhos), belly pain"
typhoid,"chills, vomiting, fatigue, high fever, headache, constipation, abdominal pain, diarrhoea, toxic look (typhos), belly pain"
typhoid,"chills, vomiting, fatigue, high fever, headache, nausea, abdominal pain, diarrhoea, toxic look (typhos), belly pain"
typhoid,"chills, vomiting, fatigue, high fever, headache, nausea, constipation, diarrhoea, toxic look (typhos), belly pain"
typhoid,"chills, vomiting, fatigue, high fever, headache, nausea, constipation, abdominal pain, toxic look (typhos), belly pain"
typhoid,"chills, vomiting, fatigue, high fever, headache, nausea, constipation, abdominal pain, diarrhoea, belly pain"
typhoid,"chills, vomiting, fatigue, high fever, headache, nausea, constipation, abdominal pain, diarrhoea, toxic look (typhos)"
typhoid,"chills, vomiting, fatigue, high fever, headache, nausea, constipation, abdominal pain, diarrhoea, toxic look (typhos), belly pain"
typhoid,"chills, fatigue, high fever, headache, nausea, constipation, abdominal pain, diarrhoea, toxic look (typhos), belly pain"
hepatitis a,"joint pain, vomiting, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain"
hepatitis a,"vomiting, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain"
hepatitis a,"joint pain, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain"
hepatitis a,"joint pain, vomiting, dark urine, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain"
hepatitis a,"joint pain, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain"
hepatitis a,"joint pain, vomiting, yellowish skin, dark urine, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain"
hepatitis a,"joint pain, vomiting, yellowish skin, dark urine, nausea, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain"
hepatitis a,"joint pain, vomiting, yellowish skin, dark urine, nausea, loss of appetite, diarrhoea, mild fever, yellowing of eyes, muscle pain"
hepatitis a,"joint pain, vomiting, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, mild fever, yellowing of eyes, muscle pain"
hepatitis b,"itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections"
hepatitis b,"fatigue, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections"
hepatitis b,"itching, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections"
hepatitis b,"itching, fatigue, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections"
hepatitis b,"itching, fatigue, lethargy, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections"
hepatitis b,"itching, fatigue, lethargy, yellowish skin, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections"
hepatitis b,"itching, fatigue, lethargy, yellowish skin, dark urine, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections"
hepatitis b,"itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections"
hepatitis b,"itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections"
hepatitis c,"fatigue, yellowish skin, nausea, loss of appetite, family history"
hepatitis c,"fatigue, yellowish skin, nausea, loss of appetite, yellowing of eyes, family history"
hepatitis c,"yellowish skin, nausea, loss of appetite, yellowing of eyes, family history"
hepatitis c,"fatigue, nausea, loss of appetite, yellowing of eyes, family history"
hepatitis c,"fatigue, yellowish skin, loss of appetite, yellowing of eyes, family history"
hepatitis c,"fatigue, yellowish skin, nausea, yellowing of eyes, family history"
hepatitis c,"fatigue, yellowish skin, nausea, loss of appetite, yellowing of eyes"
hepatitis d,"joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes"
hepatitis d,"vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes"
hepatitis d,"joint pain, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes"
hepatitis d,"joint pain, vomiting, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes"
