disease,symptoms
hepatitis d,"joint pain, vomiting, fatigue, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes"
hepatitis d,"joint pain, vomiting, fatigue, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes"
hepatitis d,"joint pain, vomiting, fatigue, yellowish skin, dark urine, loss of appetite, abdominal pain, yellowing of eyes"
hepatitis d,"joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, abdominal pain, yellowing of eyes"
hepatitis d,"joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, yellowing of eyes"
hepatitis d,"joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain"
hepatitis e,"joint pain, vomiting, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, coma, stomach bleeding"
hepatitis e,"joint pain, vomiting, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding"
hepatitis e,"vomiting, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding"
hepatitis e,"joint pain, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding"
hepatitis e,"joint pain, vomiting, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding"
hepatitis e,"joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding"
hepatitis e,"joint pain, vomiting, fatigue, high fever, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding"
hepatitis e,"joint pain, vomiting, fatigue, high fever, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding"
hepatitis e,"joint pain, vomiting, fatigue, high fever, yellowish skin, dark urine, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding"
alcoholic hepatitis,"vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption, fluid overload"
alcoholic hepatitis,"yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption, fluid overload"
alcoholic hepatitis,"vomiting, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption, fluid overload"
alcoholic hepatitis,"vomiting, yellowish skin, swelling of stomach, distention of abdomen, history of alcohol consumption, fluid overload"
alcoholic hepatitis,"vomiting, yellowish skin, abdominal pain, distention of abdomen, history of alcohol consumption, fluid overload"
alcoholic hepatitis,"vomiting, yellowish skin, abdominal pain, swelling of stomach, history of alcohol consumption, fluid overload"
alcoholic hepatitis,"vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, fluid overload"
alcoholic hepatitis,"vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption"
tuberculosis,"chills, vomiting, fatigue, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum"
tuberculosis,"vomiting, fatigue, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum"
tuberculosis,"chills, fatigue, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum"
tuberculosis,"chills, vomiting, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum"
tuberculosis,"chills, vomiting, fatigue, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum"
tuberculosis,"chills, vomiting, fatigue, weight loss, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum"
tuberculosis,"chills, vomiting, fatigue, weight loss, cough, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum"
tuberculosis,"chills, vomiting, fatigue, weight loss, cough, high fever, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum"
tuberculosis,"chills, vomiting, fatigue, weight loss, cough, high fever, breathlessness, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum"
common cold,"continuous sneezing, chills, fatigue, cough, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain"
common cold,"chills, fatigue, cough, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain"
common cold,"continuous sneezing, fatigue, cough, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain"
common cold,"continuous sneezing, chills, cough, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain"
common cold,"continuous sneezing, chills, fatigue, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain"
common cold,"continuous sneezing, chills, fatigue, cough, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain"
common cold,"continuous sneezing, chills, fatigue, cough, high fever, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain"
common cold,"continuous sneezing, chills, fatigue, cough, high fever, headache, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain"
common cold,"continuous sneezing, chills, fatigue, cough, high fever, headache, swelled lymph nodes, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain"
pneumonia,"chills, fatigue, cough, high fever, breathlessness, sweating, malaise, chest pain, fast heart rate, rusty sputum"
pneumonia,"chills, fatigue, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum"
pneumonia,"fatigue, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum"
pneumonia,"chills, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum"
pneumonia,"chills, fatigue, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum"
pneumonia,"chills, fatigue, cough, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum"
pneumonia,"chills, fatigue, cough, high fever, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum"
pneumonia,"chills, fatigue, cough, high fever, breathlessness, malaise, phlegm, chest pain, fast heart rate, rusty sputum"
pneumonia,"chills, fatigue, cough, high fever, breathlessness, sweating, phlegm, chest pain, fast heart rate, rusty sputum"
dimorphic hemmorhoids(piles),"constipation, pain during bowel movements, pain in anal region, bloody stool, irritation in anus"
dimorphic hemmorhoids(piles),"pain during bowel movements, pain in anal region, bloody stool, irritation in anus"
dimorphic hemmorhoids(piles),"constipation, pain in anal region, bloody stool, irritation in anus"
dimorphic hemmorhoids(piles),"constipation, pain during bowel movements, bloody stool, irritation in anus"
dimorphic hemmorhoids(piles),"constipation, pain during bowel movements, pain in anal region, irritation in anus"
dimorphic hemmorhoids(piles),"constipation, pain during bowel movements, pain in anal region, bloody stool"
heart attack,"vomiting, breathlessness, sweating, chest pain"
heart attack,"breathlessness, sweating, chest pain"
heart attack,"vomiting, sweating, chest pain"
heart attack,"vomiting, breathlessness, chest pain"
heart attack,"vomiting, breathlessness, sweating"
varicose veins,"fatigue, cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf"
varicose veins,"cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf"
varicose veins,"fatigue, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf"
varicose veins,"fatigue, cramps, obesity, swollen legs, swollen blood vessels, prominent veins on calf"
varicose veins,"fatigue, cramps, bruising, swollen legs, swollen blood vessels, prominent veins on calf"
varicose veins,"fatigue, cramps, bruising, obesity, swollen blood vessels, prominent veins on calf"
varicose veins,"fatigue, cramps, bruising, obesity, swollen legs, prominent veins on calf"
varicose veins,"fatigue, cramps, bruising, obesity, swollen legs, swollen blood vessels"
hypothyroidism,"fatigue, weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation"
hypothyroidism,"weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation"
hypothyroidism,"fatigue, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation"
hypothyroidism,"fatigue, weight gain, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation"
hypothyroidism,"fatigue, weight gain, cold hands and feets, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation"
hypothyroidism,"fatigue, weight gain, cold hands and feets, mood swings, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation"
hypothyroidism,"fatigue, weight gain, cold hands and feets, mood swings, lethargy, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation"
hypothyroidism,"fatigue, weight gain, cold hands and feets, mood swings, lethargy, dizziness, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation"
hyperthyroidism,"fatigue, mood swings, weight loss, restlessness, sweating, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation"
hyperthyroidism,"mood swings, weight loss, restlessness, sweating, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation"
hyperthyroidism,"fatigue, weight loss, restlessness, sweating, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation"
hyperthyroidism,"fatigue, mood swings, restlessness, sweating, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation"
hyperthyroidism,"fatigue, mood swings, weight loss, sweating, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation"
hyperthyroidism,"fatigue, mood swings, weight loss, restlessness, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation"
hyperthyroidism,"fatigue, mood swings, weight loss, restlessness, sweating, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation"
hyperthyroidism,"fatigue, mood swings, weight loss, restlessness, sweating, diarrhoea, excessive hunger, muscle weakness, irritability, abnormal menstruation"
hyperthyroidism,"fatigue, mood swings, weight loss, restlessness, sweating, diarrhoea, fast heart rate, muscle weakness, irritability, abnormal menstruation"
hypoglycemia,"vomiting, fatigue, anxiety, sweating, headache, nausea, blurred and distorted vision, excessive hunger, slurred speech, irritability, palpitations"
hypoglycemia,"vomiting, fatigue, anxiety, sweating, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations"
hypoglycemia,"fatigue, anxiety, sweating, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations"
hypoglycemia,"vomiting, anxiety, sweating, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations"
hypoglycemia,"vomiting, fatigue, sweating, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations"
hypoglycemia,"vomiting, fatigue, anxiety, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations"
hypoglycemia,"vomiting, fatigue, anxiety, sweating, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations"
hypoglycemia,"vomiting, fatigue, anxiety, sweating, headache, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations"
hypoglycemia,"vomiting, fatigue, anxiety, sweating, headache, nausea, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations"
osteoarthristis,"joint pain, neck pain, knee pain, hip joint pain, swelling joints, painful walking"
osteoarthristis,"neck pain, knee pain, hip joint pain, swelling joints, painful walking"
osteoarthristis,"joint pain, knee pain, hip joint pain, swelling joints, painful walking"
osteoarthristis,"joint pain, neck pain, hip joint pain, swelling joints, painful walking"
osteoarthristis,"joint pain, neck pain, knee pain, swelling joints, painful walking"
osteoarthristis,"joint pain, neck pain, knee pain, hip joint pain, painful walking"
osteoarthristis,"joint pain, neck pain, knee pain, hip joint pain, swelling joints"
arthritis,"muscle weakness, stiff neck, swelling joints, movement stiffness, painful walking"
arthritis,"stiff neck, swelling joints, movement stiffness, painful walking"
arthritis,"muscle weakness, swelling joints, movement stiffness, painful walking"
arthritis,"muscle weakness, stiff neck, movement stiffness, painful walking"
arthritis,"muscle weakness, stiff neck, swelling joints, painful walking"
arthritis,"muscle weakness, stiff neck, swelling joints, movement stiffness"
(vertigo) paroymsal  positional vertigo,"vomiting, headache, nausea, spinning movements, loss of balance, unsteadiness"
(vertigo) paroymsal  positional vertigo,"headache, nausea, spinning movements, loss of balance, unsteadiness"
(vertigo) paroymsal  positional vertigo,"vomiting, nausea, spinning movements, loss of balance, unsteadiness"
(vertigo) paroymsal  positional vertigo,"vomiting, headache, spinning movements, loss of balance, unsteadiness"
(vertigo) paroymsal  positional vertigo,"vomiting, headache, nausea, loss of balance, unsteadiness"
(vertigo) paroymsal  positional vertigo,"vomiting, headache, nausea, spinning movements, unsteadiness"
(vertigo) paroymsal  positional vertigo,"vomiting, headache, nausea, spinning movements, loss of balance"
acne,"skin rash, pus filled pimples, blackheads, scurring"
acne,"pus filled pimples, blackheads, scurring"
acne,"skin rash, blackheads, scurring"
acne,"skin rash, pus filled pimples, scurring"
acne,"skin rash, pus filled pimples, blackheads"
urinary tract infection,"burning micturition, bladder discomfort, foul smell of urine, continuous feel of urine"
urinary tract infection,"bladder discomfort, foul smell of urine, continuous feel of urine"
urinary tract infection,"burning micturition, foul smell of urine, continuous feel of urine"
urinary tract infection,"burning micturition, bladder discomfort, continuous feel of urine"
urinary tract infection,"burning micturition, bladder discomfort, foul smell of urine"
psoriasis,"skin rash, joint pain, skin peeling, silver like dusting, small dents in nails, inflammatory nails"
psoriasis,"joint pain, skin peeling, silver like dusting, small dents in nails, inflammatory nails"
psoriasis,"skin rash, skin peeling, silver like dusting, small dents in nails, inflammatory nails"
psoriasis,"skin rash, joint pain, silver like dusting, small dents in nails, inflammatory nails"
psoriasis,"skin rash, joint pain, skin peeling, small dents in nails, inflammatory nails"
psoriasis,"skin rash, joint pain, skin peeling, silver like dusting, inflammatory nails"
psoriasis,"skin rash, joint pain, skin peeling, silver like dusting, small dents in nails"
impetigo,"skin rash, high fever, blister, red sore around nose, yellow crust ooze"
impetigo,"high fever, blister, red sore around nose, yellow crust ooze"
impetigo,"skin rash, blister, red sore around nose, yellow crust ooze"
impetigo,"skin rash, high fever, red sore around nose, yellow crust ooze"
impetigo,"skin rash, high fever, blister, yellow crust ooze"
impetigo,"skin rash, high fever, blister, red sore around nose"
